2024-03-05 07:30:43,166 INFO    StreamThr :39508 [internal.py:wandb_internal():86] W&B internal server running at pid: 39508, started at: 2024-03-05 07:30:43.166269
2024-03-05 07:30:43,167 DEBUG   HandlerThread:39508 [handler.py:handle_request():146] handle_request: status
2024-03-05 07:30:43,169 INFO    WriterThread:39508 [datastore.py:open_for_write():87] open: /home/sgeisser/git/plr-exercise/wandb/run-20240305_073043-e1couy7u/run-e1couy7u.wandb
2024-03-05 07:30:43,170 DEBUG   SenderThread:39508 [sender.py:send():382] send: header
2024-03-05 07:30:43,170 DEBUG   SenderThread:39508 [sender.py:send():382] send: run
2024-03-05 07:30:43,610 INFO    SenderThread:39508 [dir_watcher.py:__init__():211] watching files in: /home/sgeisser/git/plr-exercise/wandb/run-20240305_073043-e1couy7u/files
2024-03-05 07:30:43,610 INFO    SenderThread:39508 [sender.py:_start_run_threads():1136] run started: e1couy7u with start time 1709620243.166426
2024-03-05 07:30:43,615 DEBUG   HandlerThread:39508 [handler.py:handle_request():146] handle_request: check_version
2024-03-05 07:30:43,615 DEBUG   SenderThread:39508 [sender.py:send_request():409] send_request: check_version
2024-03-05 07:30:43,770 DEBUG   HandlerThread:39508 [handler.py:handle_request():146] handle_request: run_start
2024-03-05 07:30:43,780 DEBUG   HandlerThread:39508 [system_info.py:__init__():27] System info init
2024-03-05 07:30:43,780 DEBUG   HandlerThread:39508 [system_info.py:__init__():42] System info init done
2024-03-05 07:30:43,780 INFO    HandlerThread:39508 [system_monitor.py:start():194] Starting system monitor
2024-03-05 07:30:43,780 INFO    SystemMonitor:39508 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-03-05 07:30:43,781 INFO    SystemMonitor:39508 [interfaces.py:start():190] Started cpu monitoring
2024-03-05 07:30:43,781 INFO    HandlerThread:39508 [system_monitor.py:probe():214] Collecting system info
2024-03-05 07:30:43,781 INFO    SystemMonitor:39508 [interfaces.py:start():190] Started disk monitoring
2024-03-05 07:30:43,782 INFO    SystemMonitor:39508 [interfaces.py:start():190] Started gpu monitoring
2024-03-05 07:30:43,783 INFO    SystemMonitor:39508 [interfaces.py:start():190] Started memory monitoring
2024-03-05 07:30:43,783 INFO    SystemMonitor:39508 [interfaces.py:start():190] Started network monitoring
2024-03-05 07:30:43,793 DEBUG   HandlerThread:39508 [system_info.py:probe():151] Probing system
2024-03-05 07:30:43,865 DEBUG   HandlerThread:39508 [system_info.py:_probe_git():136] Probing git
2024-03-05 07:30:43,869 DEBUG   HandlerThread:39508 [system_info.py:_probe_git():144] Probing git done
2024-03-05 07:30:43,869 DEBUG   HandlerThread:39508 [system_info.py:probe():199] Probing system done
